ISO3,National Unit,Name,Admin Level,Metric,Units,Year,Value
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2016,489.998689487394
"BEN","Benin","Collines","admin1","Mortality Rate","Deaths per 100 Thousand",2016,116.9392
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2016,141.117484138051
"COL","Colombia","Amazonas","admin1","Mortality Rate","Deaths per 100 Thousand",2016,41.4478
"GUY","Guyana","Upper Demerara/Berbice (Region n10)","admin1","Incidence Rate","Cases per Thousand",2016,10.878465444505599
"GUY","Guyana","Upper Demerara/Berbice (Region n10)","admin1","Mortality Rate","Deaths per 100 Thousand",2016,3.76
"UZB","Uzbekistan","Navoiy","admin1","Incidence Rate","Cases per Thousand",2016,0
"UZB","Uzbekistan","Navoiy","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"HTI","Haiti","Grande Anse","admin1","Incidence Rate","Cases per Thousand",2016,6.12108128310978
"HTI","Haiti","Grande Anse","admin1","Mortality Rate","Deaths per 100 Thousand",2016,4.94
"AGO","Angola","Bie","admin1","Incidence Rate","Cases per Thousand",2016,328.851956217915
"AGO","Angola","Bie","admin1","Mortality Rate","Deaths per 100 Thousand",2016,44.4349
"MAR","Morocco","Oriental","admin1","Incidence Rate","Cases per Thousand",2016,0
"MAR","Morocco","Oriental","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"LBR","Liberia","River Gee","admin1","Incidence Rate","Cases per Thousand",2016,479.31418696316604
"LBR","Liberia","River Gee","admin1","Mortality Rate","Deaths per 100 Thousand",2016,209.7391
"COG","Congo","Cuvette","admin1","Incidence Rate","Cases per Thousand",2016,229.631642008617
"COG","Congo","Cuvette","admin1","Mortality Rate","Deaths per 100 Thousand",2016,36.7855
"AGO","Angola","Benguela","admin1","Incidence Rate","Cases per Thousand",2016,148.72668734012402
"AGO","Angola","Benguela","admin1","Mortality Rate","Deaths per 100 Thousand",2016,35.728
"COL","Colombia","Caldas","admin1","Incidence Rate","Cases per Thousand",2016,0.0155439818903692
"COL","Colombia","Caldas","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00672
"LAO","Laos","Oudomxai","admin1","Incidence Rate","Cases per Thousand",2016,0.08139758276130751
"LAO","Laos","Oudomxai","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.017499999999999998
"HND","Honduras","Ocotepeque","admin1","Incidence Rate","Cases per Thousand",2016,0.000504444863172651
"HND","Honduras","Ocotepeque","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00008340000000000001
"BFA","Burkina Faso","Centre-Ouest","admin1","Incidence Rate","Cases per Thousand",2016,423.405964062301
"BFA","Burkina Faso","Centre-Ouest","admin1","Mortality Rate","Deaths per 100 Thousand",2016,211.51989999999998
"SEN","Senegal","Louga","admin1","Incidence Rate","Cases per Thousand",2016,56.012407971139694
"SEN","Senegal","Louga","admin1","Mortality Rate","Deaths per 100 Thousand",2016,24.855500000000003
"SLV","El Salvador","San Vicente","admin1","Incidence Rate","Cases per Thousand",2016,0
"SLV","El Salvador","San Vicente","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"SLB","Solomon Islands","Malaita","admin1","Incidence Rate","Cases per Thousand",2016,110.403101077925
"SLB","Solomon Islands","Malaita","admin1","Mortality Rate","Deaths per 100 Thousand",2016,49.255100000000006
"DJI","Djibouti","Ali Sabieh","admin1","Incidence Rate","Cases per Thousand",2016,1.50369185882825
"DJI","Djibouti","Ali Sabieh","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.43900000000000006
"COG","Congo","Lekoumou","admin1","Incidence Rate","Cases per Thousand",2016,232.54468530142
"COG","Congo","Lekoumou","admin1","Mortality Rate","Deaths per 100 Thousand",2016,91.43690000000001
"AZE","Azerbaijan","Daglig-Shirvan","admin1","Incidence Rate","Cases per Thousand",2016,0
"AZE","Azerbaijan","Daglig-Shirvan","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"THA","Thailand","Chachoengsao","admin1","Incidence Rate","Cases per Thousand",2016,0.00361913329376942
"THA","Thailand","Chachoengsao","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.000422
"THA","Thailand","Mae Hong Son","admin1","Incidence Rate","Cases per Thousand",2016,0.0548654530766947
"THA","Thailand","Mae Hong Son","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00835
"ARG","Argentina","Cordoba","admin1","Incidence Rate","Cases per Thousand",2016,0
"ARG","Argentina","Cordoba","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"TZA","Tanzania","Kaskazini Unguja","admin1","Incidence Rate","Cases per Thousand",2016,56.253602408434595
"TZA","Tanzania","Kaskazini Unguja","admin1","Mortality Rate","Deaths per 100 Thousand",2016,86.9939
"NGA","Nigeria","Bayelsa","admin1","Incidence Rate","Cases per Thousand",2016,219.08273846477698
"NGA","Nigeria","Bayelsa","admin1","Mortality Rate","Deaths per 100 Thousand",2016,80.4474
"ARG","Argentina","Tierra Del Fuego","admin1","Incidence Rate","Cases per Thousand",2016,0
"ARG","Argentina","Tierra Del Fuego","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"OMN","Oman","Ad Dakhliyah","admin1","Incidence Rate","Cases per Thousand",2016,0.0009720954834250839
"OMN","Oman","Ad Dakhliyah","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00007879999999999999
"MRT","Mauritania","Inchiri","admin1","Incidence Rate","Cases per Thousand",2016,0
"MRT","Mauritania","Inchiri","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"PRY","Paraguay","Alto Parana","admin1","Incidence Rate","Cases per Thousand",2016,0
"PRY","Paraguay","Alto Parana","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0
"BFA","Burkina Faso","Sud-Ouest","admin1","Incidence Rate","Cases per Thousand",2016,428.540897657766
"BFA","Burkina Faso","Sud-Ouest","admin1","Mortality Rate","Deaths per 100 Thousand",2016,140.1525
"NGA","Nigeria","Zamfara","admin1","Incidence Rate","Cases per Thousand",2016,531.8692630813699
"NGA","Nigeria","Zamfara","admin1","Mortality Rate","Deaths per 100 Thousand",2016,141.6242
"PHL","Philippines","Maguindanao","admin1","Incidence Rate","Cases per Thousand",2016,0.0005374782348202931
"PHL","Philippines","Maguindanao","admin1","Mortality Rate","Deaths per 100 Thousand",2016,0.00000781
"VNM","Vietnam","Binh Phuoc","admin1","Incidence Rate","Cases per Thousand",2016,1.0835462957390398
